canonical_label,target_classes,value_kind,ctdl_property,notes
course_id,Course,string,ceterms:codedNotation,Omit when not printed. Never invent min/max from a single credit.
course_name,Course,string,ceterms:name,Omit when not printed. Never invent min/max from a single credit.
course_description,Course,string,ceterms:description,Omit when not printed. Never invent min/max from a single credit.
course_credits,Course,number,ceterms:creditValue,Single printed credit is one value. Map to ceterms:creditValue nested {ceterms:value}.
course_prerequisites,Course,string,ceterms:requires,Omit when not printed. Never invent min/max from a single credit.
learning_program_id,LearningProgram,string,ceterms:codedNotation,Omit when not printed. Never invent min/max from a single credit.
learning_program_name,LearningProgram,string,ceterms:name,Omit when not printed. Never invent min/max from a single credit.
learning_program_description,LearningProgram,string,ceterms:description,Omit when not printed. Never invent min/max from a single credit.
credential_name,Credential,string,ceterms:name,Omit when not printed. Never invent min/max from a single credit.
credential_description,Credential,string,ceterms:description,Omit when not printed. Never invent min/max from a single credit.
competency_framework_name,CompetencyFramework,string,ceasn:name,Omit when not printed. Never invent min/max from a single credit.
competency_text,Competency,string,ceasn:competencyText,Omit when not printed. Never invent min/max from a single credit.
relationship_heading,Link,string,,Printed heading that names the program and the award; used only as link evidence.
